company,companySize_min,companyInfo/rating,companyInfo/reviewCount,city,job_name,date_posted,rating,reviewcount,salary,state,role
Zelis,1001,2.099999905,232,Hyderabad,Data Analysis,2025-08-29T09:05:40.105Z,2.099999905,232,NULL,Telangana,data analyst
HSBC,10000,4,16009,Pune,Data Analyst / CONSULTANT SPECIALIST,2025-08-29T12:42:13.725Z,4,16009,NULL,Maharashtra,data analyst
S&P Global,10000,3.900000095,1626,Hyderabad,Data Analyst,2025-08-29T09:14:11.772Z,3.900000095,1626,NULL,Telangana,data analyst
Lilly,10000,4.099999905,2204,Bengaluru,Data Analyst,2025-08-29T11:54:18.883Z,4.099999905,2204,NULL,Karnataka,data analyst
UST Global,10000,3.700000048,1046,Pune,Business Analyst – Data Visa & Regulatory Compliance,2025-08-29T13:07:57.294Z,3.700000048,1046,NULL,Maharashtra,data analyst
Amex,10000,4.099999905,9561,Gurugram,Sr Analyst-Data Analytics,2025-08-29T10:16:22.786Z,4.099999905,9561,NULL,Haryana,data analyst
Deloitte,10000,3.900000095,13896,Delhi,"Consultant | IT Assurance_Audit | Delhi | IT, Data & Analytics",2025-08-29T12:41:45.740Z,3.900000095,13896,NULL,NULL,data analyst
Wesco,10000,3.299999952,1792,Bengaluru,Analyst - Business,2025-08-29T12:30:46.528Z,3.299999952,1792,NULL,Karnataka,data analyst
FedEx AMEA,10000,3.5,61640,Mumbai,Senior Analyst Data Science,2025-08-29T14:02:23.808Z,3.5,61640,NULL,Maharashtra,data analyst
Signify,10000,3.799999952,331,Bengaluru,Business Analyst,2025-08-29T12:16:01.846Z,3.799999952,331,NULL,Karnataka,data analyst
HSBC,10000,4,16009,Pune,Business Analyst,2025-08-29T12:43:00.104Z,4,16009,NULL,Maharashtra,data analyst
bp,10000,3.799999952,5101,Pune,Digital Solution Analyst,2025-08-29T10:48:12.828Z,3.799999952,5101,NULL,Maharashtra,data analyst
HSBC,10000,4,16009,Pune,Business Analyst/Senior Consultant Specialist,2025-08-29T12:43:00.228Z,4,16009,NULL,Maharashtra,data analyst
Amgen,10000,4,1840,Hyderabad,Sr. Associate IS Business Analyst-Governance,2025-08-29T11:32:43.155Z,4,1840,NULL,Telangana,data analyst
Luxoft,10000,4.5,665,Gurugram,Senior Functional Business Analyst,2025-08-29T12:21:38.327Z,4.5,665,NULL,Haryana,data analyst
Ecolab Inc.,10000,3.5,4184,Bengaluru,Data Quality Analyst,2025-08-29T13:09:16.100Z,3.5,4184,NULL,Karnataka,data analyst
Innover,1001,4.599999905,31,Bengaluru,Data Analyst - Power Platform/Power Apps,2025-08-29T09:03:47.744Z,4.599999905,31,NULL,Karnataka,data analyst
Amgen,10000,4,1840,Hyderabad,Senior Manager Data Engineering – Manufacturing Data & Analytics Applications,2025-08-29T11:32:41.903Z,4,1840,NULL,Telangana,data analyst
Amex,10000,4.099999905,9561,Gurugram,Senior Financial Analyst,2025-08-29T10:16:22.829Z,4.099999905,9561,NULL,Haryana,data analyst
Amgen,10000,4,1840,Hyderabad,Sr Associate IS Business Systems Analyst,2025-08-29T11:32:42.025Z,4,1840,NULL,Telangana,data analyst
Genpact,10000,3.799999952,7805,Kolkata,Business Analyst – Transactional Procurement,2025-08-29T11:06:16.805Z,3.799999952,7805,NULL,West Bengal,data analyst
Colgate-Palmolive,10000,4.300000191,2782,Mumbai,Senior Data Scientist - Global Data and Analytics,2025-08-29T12:34:12.958Z,4.300000191,2782,NULL,Maharashtra,data analyst
